页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,
世界喊话页面,在[s%]连胜3局,WorldCallPage_ExtendedWinning3Games,Extended the winning streak to 3 games in [s%],Dalam [s%] kemenangan beruntun 3 babak,ได้รับชัยชนะ 3 เกมอย่างต่อเนื่องในเกม [s%] ,Thắng liên tiếp 3 trận trong [s%],Menang 3 kali berturut-turut dalam [s%],,
,在[s1%]赛区中日榜排名第[s2%],WorldCallPage_DailyRankingIn,Ranked [s2%] on Daily Ranking in Division [s1%],Peringkat # s2% dalam kompetisi [s1%],เป็นอันดับ [s2%] ในลีดเดอร์บอร์ดประจำวันสำหรับภูมิภาค [s1%],Xếp hạng thứ [s2%] trên bảng xếp hạng ngày khu vực [s1%],Ranking Harian [s2%] di [s1%],,
,在[s1%]赛区中周榜排名第[s2%],WorldCallPage_WeeklyRankingIn,Ranked [s2%] on Weekly Ranking in Division [s1%],Peringkat # s2% dalam minggu [s1%],เป็นอันดับ [s2%] ในลีดเดอร์บอร์ดประจำอาทิตย์สำหรับภูมิภาค [s1%],Xếp hạng thứ [s2%] trên bảng xếp hạng tuần khu vực [s1%],Ranking Mingguan [s2%] di [s1%],,
,在全球赛区中日榜排名第[s1%],WorldCallPage_GlobalDivisionDaily,Ranked [s1%] on Daily Ranking in Global Division,Peringkat # 1 di peringkat global di peringkat global [s1%],เป็นอันดับ [s1%] ในลีดเดอร์บอร์ดประจำวันทั่วโลก,Xếp hạng thứ [s1%] bảng xếp hạng ngày trên toàn thế giới,Ranking Harian [s1%] di dunia,,
,在全球赛区中周榜排名第[s1%],WorldCallPage_GlobalDivisionWeekly,Ranked [s1%] on Weekly Ranking in  Global Division,Peringkat # s1% di peringkat mingguan di divisi global,เป็นอันดับ [s1%] ในลีดเดอร์บอร์ดประจำอาทิตย์ทั่วโลก,Xếp hạng thứ [s1%] bảng xếp hạng tuần trên toàn thế giới,Ranking Mingguan [s1%] di dunia,,
,在[s1%]游戏中，收益了[s2%]颗钻石,WorldCallPage_WonDiamonds,Won [s2%] Diamonds in the game [s1%],"Dalam [s1%] permainan, dapatkan [s2%] berlian",ได้รับเพชร 2 อันในเกม [s1%],Trong trò chơi [s1%] nhận được [s2%] kim cương ,"Dalam permainan [s1%],mendapat [s2%] berlian",,
,恭喜在竞技PK榜单日榜中获得[s1%]赛区第一名,WorldCallPage_DailyArenaFirst,Congratulations for ranking the first on Daily Arena Ranking in Division [s1%],Selamat mendapatkan tempat pertama [s1%] di daftar kompetisi PK,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับสนามรบในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng một ngày trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama dalam Ranking Harian Arena PK [s1%],,
,恭喜在竞技PK榜单周榜中获得[s1%]赛区第一名,WorldCallPage_WeeklyArenaFirst,Congratulations for ranking the first on Weekly Arena Ranking in Division [s1%],Selamat mendapatkan tempat pertama dalam kompetisi [s1%] dalam daftar mingguan PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับสนามรบในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1  khu vực [s1%] bảng xếp hạng một tuần trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama dalam Ranking Mingguan Arena PK [s1%] ,,
,恭喜在竞技PK榜日榜中获得全球第一名,WorldCallPage_DailyArenaGlobalFirst,Congratulations for ranking the first on Daily Arena Ranking in Global Division,Selamat atas memenangkan tempat pertama di dunia dalam daftar PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับสนามรบทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng ngày trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama sedunia dalam Ranking Harian Arena PK ,,
,恭喜在竞技PK榜周榜中获得全球第一名,WorldCallPage_WeeklyArenaGlobalFirst,Congratulations for ranking the first on Weekly Arena Ranking in Global Division,Selamat atas peringkat pertama di dunia dalam daftar PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับสนามรบทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng tuần trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama sedunia dalam Ranking Mingguan Arena PK ,,
,恭喜在擂台财富榜日榜中获得[s1%]赛区第一名,WorldCallPage_DailyFortuneFirst,Congratulations for ranking the first on Daily Fortune Ranking in Division [s1%],Selamat atas memenangkan tempat pertama [s1%] di Daftar Keberuntungan Fujian,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับทรัพย์สินในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng ngày trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama dalam Ranking Harian Kekayaan Arena [s1%],,
,恭喜在擂台财富榜周榜中获得[s1%]赛区第一名,WorldCallPage_WeeklyFortuneFirst,Congratulations for ranking the first on Weekly Fortune Ranking in Division [s1%],Selamat atas memenangkan [s1%] tempat pertama dalam Daftar Fortune Taiwan,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับทรัพย์สินในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng tuần trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama dalam Ranking Mingguan Kekayaan Arena [s1%],,
,恭喜在擂台财富榜单日榜中获得全球第一名,WorldCallPage_DailyFortuneGlobalFirst,Congratulations for ranking the first on Daily Fortune Ranking in Global Division,Selamat atas peringkat pertama di dunia dalam daftar Daftar Fortune,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับทรัพย์สินทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng một ngày trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama sedunia dalam Ranking Harian Kekayaan Arena,,
,恭喜在擂台财富榜单周榜中获得全球第一名,WorldCallPage_WeeklyFortuneGlobalFirst,Congratulations for ranking the first on Weekly Fortune Ranking in Global Division ,Selamat atas memenangkan tempat pertama di dunia dalam daftar Daftar Fortune Taiwan,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับทรัพย์สินทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng một tuần trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama sedunia dalam Ranking Mingguan Kekayaan Arena,,
,世界喊话,WorldCallPage_WorldChannel,World Channel,Teriakan dunia,ส่งข้อความในช่องทางทั่วโลก,Kênh chat thế giới,Panggilan Dunia,,